Time,Stock,Strategy,Side,Qty,Entry,Exit,Reason,Gross_INR,Kotak_Friction_INR,Net_PnL_INR,Max_DD_INR
2026-09-24 13:27:33,SBIN.NS,TW_TUNED,SHORT,94,985.9,980.63,Limit TP,495.51,33.24,462.27,-42.67
2026-09-24 14:54:24,HDFCBANK.NS,TW_TUNED,SHORT,107,729.85,732.17,Stop Market,-248.78,28.06,-276.83,-295.56
2026-09-25 14:01:28,RELIANCE.NS,TW_TUNED,SHORT,71,1217.1,1220.61,Stop Market,-249.01,31.05,-280.05,-286.64
2026-09-25 14:02:43,SBIN.NS,TW_TUNED,SHORT,86,980.0,980.8,Timeout,-68.8,30.27,-99.07,-159.27
2026-09-25 15:15:40,INFY.NS,TW_TUNED,SHORT,77,997.0,998.8,EOD Square-Off,-138.6,27.57,-166.17,-173.88
