Time,Stock,Strategy,Side,Qty,Entry,Exit,Reason,Gross_INR,Kotak_Friction_INR,Net_PnL_INR,Max_DD_INR
2026-09-24 13:27:31,SBIN.NS,TW_ORIG,SHORT,94,985.9,980.63,Limit TP,495.51,33.24,462.27,-42.67
2026-09-24 13:46:31,TCS.NS,TW_ORIG,SHORT,47,2088.4,2077.93,Limit TP,492.16,35.21,456.95,-148.06
2026-09-24 13:47:38,INFY.NS,TW_ORIG,SHORT,96,1012.3,1007.14,Limit TP,495.09,34.86,460.23,-207.7
2026-09-24 14:54:23,HDFCBANK.NS,TW_ORIG,SHORT,107,729.85,732.17,Stop Market,-248.78,28.06,-276.83,-295.56
2026-09-25 11:11:46,RELIANCE.NS,TW_ORIG,SHORT,70,1217.3,1220.83,Stop Market,-247.0,30.61,-277.61,-282.61
2026-09-25 14:02:41,SBIN.NS,TW_ORIG,SHORT,86,980.0,980.8,Timeout,-68.8,30.27,-99.07,-159.27
